author_name,title,authors,publication,cited_by_value,year
Robert C. Williamson,Imposing pattern nulls on broadband array responses,"PJ Kootsookos, DB Ward, RC Williamson","The Journal of the Acoustical Society of America 105 (6), 3390-3398, 1999",21,1999
Robert C. Williamson,Sample complexity of least squares identification of FIR models,"E Weyer, RC Williamson, IMY Mareels","IFAC Proceedings Volumes 29 (1), 4664-4669, 1996",21,1996
Robert C. Williamson,Apparatus and method for using adaptive algorithms to exploit sparsity in target weight vectors in an adaptive channel equalizer,"RK Martin, RC Williamson, WA Sethares","US Patent 7,061,977, 2006",20,2006
Robert C. Williamson,Investigating the distribution assumptions in the PAC learning model,"PL Bartlett, RC Williamson","Proceedings of the fourth annual workshop on Computational learning theory …, 1991",20,1991
Robert C. Williamson,Generalized mixability via entropic duality,"MD Reid, RM Frongillo, RC Williamson, N Mehta","Conference on Learning Theory, 1501-1522, 2015",19,2015
Robert C. Williamson,Learnability of probabilistic automata via oracles,"O Guttman, SVN Vishwanathan, RC Williamson","Algorithmic Learning Theory: 16th International Conference, ALT 2005 …, 2005",19,2005
Robert C. Williamson,Performance of the maximum likelihood constant frequency estimator for frequency tracking,"M Karan, RC Williamson, BDO Anderson","IEEE transactions on signal processing 42 (10), 2749-2757, 1994",19,1994
Robert C. Williamson,A primal-dual link between GANs and autoencoders,"H Husain, R Nock, RC Williamson","Advances in Neural Information Processing Systems 32, 2019",18,2019
Robert C. Williamson,The future of precision medicine in Australia,"R Williamson, W Anderson, S Duckett, I Frazer, C Hillyard, E Kowal, ...","Australian Council of Learned Academies (ACOLA), 2018",18,2018
Robert C. Williamson,f-GANs in an information geometric nutshell,"R Nock, Z Cranko, AK Menon, L Qu, RC Williamson","Advances in Neural Information Processing Systems 30, 2017",18,2017
Robert C. Williamson,On the consistency of output code based learning algorithms for multiclass learning problems,"HG Ramaswamy, BS Babu, S Agarwal, RC Williamson","Conference on Learning Theory, 885-902, 2014",18,2014
Robert C. Williamson,Sample based generalization bounds,"RC Williamson, J Shawe-Taylor, B Schölkopf, AJ Smola","IEEE Transactions on Information Theory, 1999",18,1999
Robert C. Williamson,Learning in the presence of corruption,"B van Rooyen, RC Williamson","arXiv preprint arXiv:1504.00091, 2015",17,2015
Robert C. Williamson,Mixability in Statistical Learning,"T van Erven, PD Grünwald, MD Reid, RC Williamson","Neural Information Processing Systems, 2012",17,2012
Robert C. Williamson,Spatial aliasing for near-field sensor arrays,"TD Abhayapala, R Kennedy, RC Williamson","Electronics Letters 35 (10), 764-765, 1999",17,1999
Robert C. Williamson,The geometry of losses,RC Williamson,"Conference on Learning Theory, 1078-1108, 2014",16,2014
Robert C. Williamson,On the poor robustness of sound equalization in reverberant environments,"BD Radlovic, RC Williamson, RA Kennedy","1999 IEEE International Conference on Acoustics, Speech, and Signal …, 1999",16,1999
Robert C. Williamson,An adaptive algorithm for broadband frequency invariant beamforming,"DB Ward, RA Kennedy, RC Williamson","1997 IEEE International Conference on Acoustics, Speech, and Signal …, 1997",16,1997
Robert C. Williamson,Design of frequency-invariant broadband far-field sensor arrays,"DB Ward, RA Kennedy, RC Williamson","Proceedings of IEEE Antennas and Propagation Society International Symposium …, 1994",16,1994
Robert C. Williamson,A loss framework for calibrated anomaly detection,"AK Menon, RC Williamson","Proceedings of the 32nd international conference on neural information …, 2018",15,2018
Robert C. Williamson,From stochastic mixability to fast rates,"NA Mehta, RC Williamson","Advances in Neural Information Processing Systems 27, 2014",15,2014
Robert C. Williamson,Degrees of supervision,"D Garcıa-Garcıa, RC Williamson","Proceedings of the 25th Annual Conference on Neural Information Processing …, 2011",15,2011
Robert C. Williamson,Superkernels,"C Ong, A Smola, R Williamson","Neural Information Processing Systems, 2002",15,2002
Robert C. Williamson,Noise modeling for nearfield array optimization,"TD Abhayapala, RA Kennedy, RC Williamson","IEEE Signal Processing Letters 6 (8), 210-212, 1999",15,1999
Robert C. Williamson,Australian National University,"SF Reid, H Spirits","Assoc Prof Alastair Richardson, University of Tasmania, 2010",14,2010
Robert C. Williamson,"Information, divergence and risk for binary experiments","MD Reid, RC Williamson","arXiv preprint arXiv:0901.0356, 2009",14,2009
Robert C. Williamson,Large margin classification for moving targets,"J Kivinen, AJ Smola, RC Williamson","Algorithmic Learning Theory: 13th International Conference, ALT 2002 Lübeck …, 2002",14,2002
Robert C. Williamson,Very low voltage power conversion,"M Shepard, RC Williamson","ISCAS 2001. The 2001 IEEE International Symposium on Circuits and Systems …, 2001",14,2001
Robert C. Williamson,Smoothing approaches to reconstruction of missing data in array processing,"J Fulton, RR Bitmead, RC Williamson","Defence Applications of Signal Processing. Proceedings of the US/Australia …, 2001",14,2001
Robert C. Williamson,The cost of fairness in classification,"AK Menon, RC Williamson","arXiv preprint arXiv:1705.09055, 2017",13,2017
Robert C. Williamson,Bayes-optimal scorers for bipartite ranking,"AK Menon, RC Williamson","Conference on Learning Theory, 68-106, 2014",13,2014
Robert C. Williamson,Single-class support vector machines,"B Schölkopf, R Williamson, AJ Smola, J Shawe-Taylor","Dagstuhl-Seminar 99121: Unsupervised Learning, 19-20, 1999",13,1999
Robert C. Williamson,Online learning via congregational gradient descent,"KL Blackmore, RC Williamson, IMY Mareels, WA Sethares","Proceedings of the eighth annual conference on Computational learning theory …, 1995",13,1995
Robert C. Williamson,Particle filtering algorithms for acoustic source localization,"DB Ward, EA Lehmann, RC Williamson","IEEE Trans. Speech Audio Processing, 2003",12,2003
Robert C. Williamson,Learning and generalization: theoretical bounds,"R Herbrich, RC Williamson",,11,2002
Robert C. Williamson,New support vector algorithms,"R Williamson, P Bartlett","Neural Comput 12, 1207-1245, 2000",11,2000
Robert C. Williamson,Nearfield broadband adaptive beamforming,"TD Abhayapala, RA Kennedy, RC Williamson, DB Ward","ISSPA'99. Proceedings of the Fifth International Symposium on Signal …, 1999",11,1999
Robert C. Williamson,An average classification algorithm,"B van Rooyen, AK Menon, RC Williamson","arXiv preprint arXiv:1506.01520, 2015",10,2015
Robert C. Williamson,Acoustic beamforming exploiting directionality of human speech sources,"T Betlehem, RC Williamson","2003 IEEE International Conference on Acoustics, Speech, and Signal …, 2003",10,2003
Robert C. Williamson,Decision region approximation by polynomials or neural networks,"KL Blackmore, RC Williamson, IMY Mareels","IEEE Transactions on Information Theory 43 (3), 903-907, 1997",10,1997
Robert C. Williamson,Efficient frequency estimation and time-frequency representations,"BC Lovell, PJ Kootsookos, RC Williamson","the International Symposium of Signal Processing and its Applications, 170-173, 1990",10,1990
Robert C. Williamson,The inverse and determinant of a 2× 2 uniformly distributed random matrix,"RC Williamson, T Downs","Statistics & probability letters 7 (2), 167-170, 1988",10,1988
Robert C. Williamson,Learning nonlinearly parametrized decision regions,"KL Blackmore, RC Williamson, IMY Mareels","Journal of Mathematical Systems Estimation and Control 6, 129-132, 1996",9,1996
Robert C. Williamson,Threshold effects in multiharmonic maximum likelihood frequency estimation,"RC Williamson, B James, BDO Anderson, PJ Kootsookos","Signal processing 37 (3), 309-331, 1994",9,1994
Robert C. Williamson,"Splines, rational functions and neural networks","RC Williamson, P Bartlett","Advances in Neural Information Processing Systems 4, 1991",9,1991
Robert C. Williamson,A geometric view of non-linear on-line stochastic gradient descent,"KA Krakowski, RE Mahony, RC Williamson, MK Warmuth","Author website, 2007",8,2007
Robert C. Williamson,Importance sampling particle filter for robust acoustic source localisation and tracking in reverberant environments,"E Lehmann, RC Williamson","Proceedings of the Joint Workshop on Hands-Free Speech Communication and …, 2005",8,2005
Robert C. Williamson,Generalization bounds for convex combinations of kernel functions,"AJ Smola, RC Williamson, B Schölkopf","University of London, Royal Holloway College, NeuroCOLT 2, 1998",8,1998
Robert C. Williamson,An extreme limit theorem for dependency bounds of normalized sums of random variables,RC Williamson,"Information Sciences 56 (1-3), 113-141, 1991",8,1991
Robert C. Williamson,Lossless or quantized boosting with integer arithmetic,"R Nock, R Williamson","International Conference on Machine Learning, 4829-4838, 2019",7,2019
Robert C. Williamson,"Constant regret, generalized mixability, and mirror descent","Z Mhammedi, RC Williamson","Advances in Neural Information Processing Systems 31, 2018",7,2018
Robert C. Williamson,Exp-concavity of proper composite losses,"P Kamalaruban, R Williamson, X Zhang","Conference on Learning Theory, 1035-1065, 2015",7,2015
Robert C. Williamson,A theory of feature learning,"B van Rooyen, RC Williamson","arXiv preprint arXiv:1504.00083, 2015",7,2015
Robert C. Williamson,The structure of version space,"R Herbrich, T Graepel, RC Williamson","Innovations in Machine Learning: Theory and Applications, 257-273, 2006",7,2006
Robert C. Williamson,Removing loops from LDPC codes,"JA McGowan, RC Williamson","Proceedings of the Australian Communications Theory Workshop, 2003",7,2003
Robert C. Williamson,Agnostic learning nonconvex function classes,"S Mendelson, RC Williamson","International Conference on Computational Learning Theory, 1-13, 2002",7,2002
Robert C. Williamson,Beamforming for a source located in the interior of a sensor array,"DB Ward, RC Williamson","ISSPA'99. Proceedings of the Fifth International Symposium on Signal …, 1999",7,1999
Robert C. Williamson,Risk measures and upper probabilities: Coherence and stratification,"C Fröhlich, RC Williamson","arXiv preprint arXiv:2206.03183, 2022",6,2022
Robert C. Williamson,An analysis of the exponentiated gradient descent algorithm,"SI Hill, RC Williamson","ISSPA'99. Proceedings of the Fifth International Symposium on Signal …, 1999",6,1999
Robert C. Williamson,Correction to “Lower bounds on VC-dimension of smoothly parameterized function classes”,"WS Lee, PL Bartlett, RC Williamson","Neural computation 9 (4), 765-769, 1997",6,1997
Robert C. Williamson,Local minima and attractors at infinity for gradient descent learning algorithms,"KL Blackmore, RC Williamson, IMY Mareels","Journal of Mathematical Systems Estimation and Control 6, 231-234, 1996",6,1996
Robert C. Williamson,Norm-based regularization of boosting,"Y Guo, PL Bartlett, AJ Smola, RC Williamson, J Baxter","Technical ReportAustralian National University, 2002",5,2002
Robert C. Williamson,Generalization bounds and learning rates for regularized principal manifolds,"AJ Smola, RC Williamson, B Schölkopf","University of London, Royal Holloway College, NeuroCOLT 2, 1998",5,1998
Robert C. Williamson,Sampling rate versus quantisation in speech coders,"JA Fulton, RR Bitmead, RC Williamson","Signal processing 56 (3), 209-218, 1997",5,1997
Robert C. Williamson,Non-destructive testing of composites using long waves,"S Thwaites, NH Clark",,5,1997
Robert C. Williamson,A provably convergent perceptron-like algorithm for learning hypercubic decision regions,"RC Williamson, WA Sethares","Artificial Neural Networks, 1029-1032, 1991",5,1991
Robert C. Williamson,Interval arithmetic and probabilistic arithmetic,RC Williamson,"Contrib. Comp. Arith. Self-Val, 67-80, 1990",5,1990
Robert C. Williamson,Tailoring to the Tails: Risk Measures for Fine-Grained Tail Sensitivity,"C Fröhlich, RC Williamson","arXiv preprint arXiv:2208.03066, 2022",4,2022
Robert C. Williamson,Information Processing Equalities and the Information-Risk Bridge,"RC Williamson, Z Cranko","arXiv preprint arXiv:2207.11987, 2022",4,2022
Robert C. Williamson,Adversarial networks and autoencoders: The Primal-Dual relationship and generalization bounds,"H Husain, R Nock, RC Williamson","arXiv preprint arXiv:1902.00985, 2019",4,2019
Robert C. Williamson,A modular theory of feature learning,"D McNamara, CS Ong, RC Williamson","arXiv preprint arXiv:1611.03125, 2016",4,2016
Robert C. Williamson,Technology and work,"MN Raghnaill, RC Williamson","Enquiries should be addressed to, 99, 2014",4,2014
