author_name,title,authors,publication,cited_by_value,year
Philipp Hennig,The Geometry of Neural Nets' Parameter Spaces Under Reparametrization,"A Kristiadi, F Dangel, P Hennig","arXiv preprint arXiv:2302.07384, 2023",1,2023
Philipp Hennig,Late-Phase Second-Order Training,"L Tatzel, P Hennig, F Schneider","Has it Trained Yet? NeurIPS 2022 Workshop, 2022",1,2022
Philipp Hennig,Wasserstein t-SNE,"F Bachmann, P Hennig, D Kobak","Joint European Conference on Machine Learning and Knowledge Discovery in …, 2022",1,2022
Philipp Hennig,Numerical uncertainty can critically affect simulations of mechanistic models in neuroscience,"J Oesterle, N Krämer, P Hennig, P Berens","bioRxiv, 2021.04. 27.441605, 2021",1,2021
Philipp Hennig,Analytical probabilistic modeling of dose‐volume histograms,"N Wahl, P Hennig, HP Wieser, M Bangert","Medical physics 47 (10), 5260-5273, 2020",1,2020
Philipp Hennig,OC-0088: Simultaneous consideration of biologyical and physical uncertainties in robust ion therapy planning,"HP Wieser, N Wahl, P Hennig, M Bangert","Radiotherapy and Oncology 127, S46-S47, 2018",1,2018
Philipp Hennig,Analytical probabilistic proton dose calculation and range uncertainties,"M Bangert, P Hennig, U Oelfke","Journal of Physics: Conference Series 489 (1), 012002, 2014",1,2014
Philipp Hennig,Probabilistic Progress Bars,"M Kiefel, C Schuler, P Hennig","Pattern Recognition: 36th German Conference, GCPR 2014, Münster, Germany …, 2014",1,2014
Philipp Hennig,Kernel Topic Models,"T Graepel, P Hennig, R Herbrich, D Stern","Artificial Intelligence and Statistics, 511-519, 2012",1,2012
Philipp Hennig,Kronecker-Factored Approximate Curvature for Modern Neural Network Architectures,"R Eschenhagen, A Immer, RE Turner, F Schneider, P Hennig","arXiv preprint arXiv:2311.00636, 2023",,2023
Philipp Hennig,Accelerating Generalized Linear Models by Trading off Computation for Uncertainty,"L Tatzel, J Wenger, F Schneider, P Hennig","arXiv preprint arXiv:2310.20285, 2023",,2023
Philipp Hennig,Parallel-in-Time Probabilistic Numerical ODE Solvers,"N Bosch, A Corenflos, F Yaghoobi, F Tronarp, P Hennig, S Särkkä","arXiv preprint arXiv:2310.01145, 2023",,2023
Philipp Hennig,The Rank-Reduced Kalman Filter: Approximate Dynamical-Low-Rank Filtering In High Dimensions,"P Hennig, J Schmidt, J Nick, F Tronarp","arXiv, 2023",,2023
Philipp Hennig,The Rank-Reduced Kalman Filter: Approximate Dynamical-Low-Rank Filtering In High Dimensions,"J Schmidt, P Hennig, J Nick, F Tronarp","arXiv preprint arXiv:2306.07774, 2023",,2023
Philipp Hennig,Benchmarking Neural Network Training Algorithms,"P Hennig, GE Dahl, F Schneider, Z Nado, N Agarwal, C Shama Sastry, ...","arXiv, 2023",,2023
Philipp Hennig,Probabilistic Exponential Integrators,"P Hennig, F Tronarp, N Bosch","arXiv, 2023",,2023
Philipp Hennig,Probabilistic Exponential Integrators,"N Bosch, P Hennig, F Tronarp","arXiv preprint arXiv:2305.14978, 2023",,2023
Philipp Hennig,Bayesian Numerical Integration with Neural Networks,"P Hennig, FX Briol, M Tiermann, K Ott","arXiv, 2023",,2023
Philipp Hennig,Uncertainty and Structure in Neural Ordinary Differential Equations,"P Hennig, M Tiermann, K Ott","arXiv, 2023",,2023
Philipp Hennig,Bayesian Numerical Integration with Neural Networks,"K Ott, M Tiemann, P Hennig, FX Briol","arXiv preprint arXiv:2305.13248, 2023",,2023
