author_name,title,authors,publication,cited_by_value,year
Hendrik P. A. Lensch,At‐Most‐Hexa Meshes,"DR Bukenberger, M Tarini, HPA Lensch","Computer Graphics Forum 41 (1), 7-28, 2022",7,2022
Hendrik P. A. Lensch,Applying visual analytics to physically based rendering,"G Simons, S Herholz, V Petitjean, T Rapp, M Ament, H Lensch, ...","Computer Graphics Forum 38 (1), 197-208, 2019",7,2019
Hendrik P. A. Lensch,Stereo‐Consistent Contours in Object Space,"DR Bukenberger, K Schwarz, HPA Lensch","Computer Graphics Forum 37 (1), 301-312, 2018",7,2018
Hendrik P. A. Lensch,Dense and occlusion-robust multi-view stereo for unstructured videos,"J Wei, B Resch, HPA Lensch","2016 13th Conference on Computer and Robot Vision (CRV), 69-76, 2016",7,2016
Hendrik P. A. Lensch,Real‐Time Disparity Map‐Based Pictorial Depth Cue Enhancement,"C Rößing, J Hanika, H Lensch","Computer Graphics Forum 31 (2pt1), 275-284, 2012",7,2012
Hendrik P. A. Lensch,Direct visualization of real-world light transport,"MB Hullin, M Fuchs, B Ajdin, I Ihrke, HP Seidel, HPA Lensch","Proceedings of Vision, Modeling, and Visualization (VMV), 363-371, 2008",7,2008
Hendrik P. A. Lensch,A Multi-wavelength-based Method to de-project Gas and Dust Distributions of several Planetary Nebulae,"A Lintu, HPA Lensch, M Magnor, TH Lee, S El-Abed, HP Seidel","Asymmetrical Planetary Nebulae IV 5, 2007",7,2007
Hendrik P. A. Lensch,A phase-coded aperture camera with programmable optics,"J Chen, M Hirsch, R Heintzmann, B Eberhardt, HPA Lensch","Electronic Imaging 29, 70-75, 2017",6,2017
Hendrik P. A. Lensch,Interactive alignment and image reconstruction for wafer-level multi-aperture camera systems,"A Oberdörster, A Brückner, HPA Lensch","Applications of Digital Image Processing XXXVII 9217, 301-308, 2014",6,2014
Hendrik P. A. Lensch,A hierarchical automatic stopping condition for Monte Carlo global illumination,"H Dammertz, J Hanika, A Keller, H Lensch","Václav Skala-UNION Agency, 2010",6,2010
Hendrik P. A. Lensch,Shape from distortion: 3d range scanning of mirroring objects,"M Tarini, H Lensch, M Goesele, HP Seidel","ACM SIGGRAPH 2002 conference abstracts and applications, 248-248, 2002",6,2002
Hendrik P. A. Lensch,Single image brdf parameter estimation with a conditional adversarial network,"M Boss, H Lensch","arXiv preprint arXiv:1910.05148, 2019",5,2019
Hendrik P. A. Lensch,Reflective and fluorescent separation under narrow-band illumination,"K Koyamatsu, D Hidaka, T Okabe, H Lensch","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2019",5,2019
Hendrik P. A. Lensch,Backpropagation training for fisher vectors within neural networks,"P Wieschollek, F Groh, H Lensch","arXiv preprint arXiv:1702.02549, 2017",5,2017
Hendrik P. A. Lensch,Exposure control for HDR video,"M Bürker, C Rößing, HPA Lensch","Optics, Photonics, and Digital Technologies for Multimedia Applications III …, 2014",5,2014
Hendrik P. A. Lensch,View planning for BRDF acquisition,"J Lang, HP Seidel, HPA Lensch","ACM SIGGRAPH 2003 Sketches & Applications, 1-1, 2003",5,2003
Hendrik P. A. Lensch,Acquiring material models using inverse rendering,"R Ramamoorthi, S Marschner, S Boivin, G Drettakis, HPA Lensch, Y Yu","SIGGRAPH Course 39, 2002",5,2002
Hendrik P. A. Lensch,An open-source smartphone app for the quantitative evaluation of thin-layer chromatographic analyses in medicine quality screening,"C Hauk, M Boss, J Gabel, S Schäfermann, HPA Lensch, L Heide","Scientific Reports 12 (1), 13433, 2022",4,2022
Hendrik P. A. Lensch,Deep Dual Loss BRDF Parameter Estimation.,"M Boss, F Groh, S Herholz, HPA Lensch","MAM@ EGSR, 41-44, 2018",4,2018
Hendrik P. A. Lensch,Systems and methods for facilitating three-dimensional reconstruction of scenes from videos,"B Resch, H Lensch, M Pollefeys, O Wang, AS Hornung","US Patent 9,648,303, 2017",4,2017
Hendrik P. A. Lensch,Multi-view continuous structured light scanning,"F Groh, B Resch, HPA Lensch","Pattern Recognition: 39th German Conference, GCPR 2017, Basel, Switzerland …, 2017",4,2017
Hendrik P. A. Lensch,Acquiring 4D light fields of self-luminous light sources using programmable filter,"M Nakamura, T Okabe, HPA Lensch","Computer Vision-ECCV 2014 Workshops: Zurich, Switzerland, September 6-7 and …, 2015",4,2015
Hendrik P. A. Lensch,Resolution and sensitivity of wafer-level multi-aperture cameras,"A Oberdörster, HPA Lensch","Journal of Electronic Imaging 22 (1), 011001-011001, 2013",4,2013
Hendrik P. A. Lensch,High-performance iterated function systems,"C Schied, J Hanika, H Dammertz, HPA Lensch","GPU Computing Gems Emerald Edition, 263-273, 2011",4,2011
Hendrik P. A. Lensch,Massively Parallel Multiclass Object Recognition.,"HA Sedding, F Deger, H Dammertz, J Bouecke, HPA Lensch","VMV, 251-257, 2010",4,2010
Hendrik P. A. Lensch,Projectors for Graphics,"R Raskar, A Majumder, HPA Lensch, O Bimber","SIGGRAPH Course Notes, SIGGRAPH, LA, 2008",4,2008
Hendrik P. A. Lensch,Capturing reflectance-from theory to practice,"H Lensch, M Goesele","The Eurographics Association, 2007",4,2007
Hendrik P. A. Lensch,Modeling the world: the virtualization pipeline,"J Kautz, HPA Lensch, M Goesele, J Lang, HP Seidel","12th International Conference on Image Analysis and Processing, 2003 …, 2003",4,2003
Hendrik P. A. Lensch,Shape from distortion: 3d range scanning of mirroring objects,"MT Hendrik, H Lensch, M Goesele, H peter Seidel","Proc. SIGGRAPH Conf. Abstracts Appl, 2002",4,2002
Hendrik P. A. Lensch,Techniques for hardware-accelerated light field rendering,H Lensch,"Friedrich-Alexander-Universität Erlangen-Nürnberg Erlangen, 1999",4,1999
Hendrik P. A. Lensch,Language with vision: a study on grounded word and sentence embeddings,"H Shahmohammadi, M Heitmeier, E Shafaei-Bajestan, H Lensch, ...","arXiv preprint arXiv:2206.08823, 2022",3,2022
Hendrik P. A. Lensch,A Generative Model Reveals the Influence of Patient Attributes on Fundus Images,"S Müller, LM Koch, H Lensch, P Berens","Medical Imaging with Deep Learning, 2022",3,2022
