author_name,title,authors,publication,cited_by_value,year
Bernhard Schölkopf,Leveraging the crowd to detect and reduce the spread of fake news and misinformation,"J Kim, B Tabibian, A Oh, B Schölkopf, M Gomez-Rodriguez","Proceedings of the eleventh ACM international conference on web search and …, 2018",261,2018
Bernhard Schölkopf,Weakly-supervised disentanglement without compromises,"F Locatello, B Poole, G Rätsch, B Schölkopf, O Bachem, M Tschannen","International Conference on Machine Learning, 6348-6359, 2020",260,2020
Bernhard Schölkopf,Learning to find pre-images,"GH Bakır, J Weston, B Schölkopf","Advances in Neural Information Processing Systems 16, 449-456, 2004",259,2004
Bernhard Schölkopf,A kernel method for the two-sample problem,"A Gretton, K Borgwardt, MJ Rasch, B Scholkopf, AJ Smola","arXiv preprint arXiv:0805.2368, 2008",256,2008
Bernhard Schölkopf,Shrinking the tube: a new support vector regression algorithm,"B Schölkopf, P Bartlett, A Smola, RC Williamson","Advances in neural information processing systems 11, 1998",255,1998
Bernhard Schölkopf,Kernel choice and classifiability for RKHS embeddings of probability distributions,"K Fukumizu, A Gretton, G Lanckriet, B Schölkopf, BK Sriperumbudur","Advances in neural information processing systems 22, 2009",253,2009
Bernhard Schölkopf,Computationally efficient face detection,"S Romdhani, P Torr, B Scholkopf, A Blake","Proceedings Eighth IEEE International Conference on Computer Vision. ICCV …, 2001",252,2001
Bernhard Schölkopf,Estimating a kernel fisher discriminant in the presence of label noise,"N Lawrence, B Schölkopf","18th international conference on machine learning (ICML 2001), 306-306, 2001",251,2001
Bernhard Schölkopf,Algorithmic recourse: from counterfactual explanations to interventions,"AH Karimi, B Schölkopf, I Valera","Proceedings of the 2021 ACM conference on fairness, accountability, and …, 2021",250,2021
Bernhard Schölkopf,Constructing Descriptive and Discriminative Nonlinear Features: Rayleigh Coefficients in Kernel Feature Spaces,"S Mika, G Ratsch, J Weston, B Scholkopf, A Smola, KR Muller","IEEE Transactions on Pattern Analysis and Machine Intelligence 25 (5), 623-627, 2003",250,2003
Bernhard Schölkopf,Invariant feature extraction and classification in kernel spaces,"S Mika, G Rätsch, J Weston, B Schölkopf, A Smola, KR Müller","Advances in neural information processing systems 12, 1999",250,1999
Bernhard Schölkopf,Statistical learning and kernel methods,B Schölkopf,"Data fusion and perception, 3-24, 2001",248,2001
Bernhard Schölkopf,Quantifying information overload in social media and its impact on social contagions,"MG Rodriguez, K Gummadi, B Schoelkopf","Proceedings of the international AAAI conference on web and social media 8 …, 2014",245,2014
