author_name,title,authors,publication,cited_by_value,year
Ulrike von Luxburg,No evidence for contextual cueing beyond explicit recognition,"S Meyen, MA Vadillo, U von Luxburg, VH Franz","Psychonomic Bulletin & Review, 1-24, 2023",,2023
Ulrike von Luxburg,Mind the spikes: Benign overfitting of kernels and neural networks in fixed dimension,"M Haas, D Holzmüller, U von Luxburg, I Steinwart","arXiv preprint arXiv:2305.14077, 2023",,2023
Ulrike von Luxburg,From Shapley Values to Generalized Additive Models and back,"U von Luxburg, S Bordt","arXiv, 2023",,2023
Ulrike von Luxburg,Empirical Distortions in Climate Networks,"M Haas, B Goswami, U von Luxburg","EGU23, 2023",,2023
Ulrike von Luxburg,Machine Learning for Science: Bridging Data-Driven and Mechanistic Modelling (Dagstuhl Seminar 22382),"P Berens, K Cranmer, ND Lawrence, U von Luxburg, J Montgomery","Dagstuhl Reports 12 (9), 2023",,2023
Ulrike von Luxburg,Clustering with Tangles: Algorithmic Framework and Theoretical Guarantees,"S Klepper, C Elbracht, D Fioravanti, J Kneip, L Rendsburg, M Teegen, ...","Journal of Machine Learning Research 24 (190), 1-56, 2023",,2023
Ulrike von Luxburg,Estimating the perceived dimensionality of psychophysical stimuli using a triplet accuracy and hypothesis testing procedure,"DE Künstle, U von Luxburg, FA Wichmann","Journal of Vision 22 (14), 3331-3331, 2022",,2022
Ulrike von Luxburg,Estimating the perceived dimension of psychophysical stimuli using triplet accuracy and hypothesis testing,"DE Künstle, U von Luxburg, FA Wichmann","Journal of Vision 22 (13), 5-5, 2022",,2022
Ulrike von Luxburg,Clustering with Tangles: Algorithmic Framework and Theoretical Guarantees,"U von Luxburg, M Teegen, L Rendsburg, J Kneip, D Fioravanti, C Elbracht, ...","arXiv, 2022",,2022
Ulrike von Luxburg,Relating graph auto-encoders to linear models,"U von Luxburg, S Klepper","arXiv, 2022",,2022
Ulrike von Luxburg,Relating graph auto-encoders to linear models,"S Klepper, U von Luxburg","arXiv preprint arXiv:2211.01858, 2022",,2022
Ulrike von Luxburg,The Manifold Hypothesis for Gradient-Based Explanations,"Z Akata, U Luxburg, U Upadhyay, S Bordt","IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops, 2022",,2022
